id,dam_name,geo_region,res_sed_rate_m3,drainage_sqkm,year_comp,utm_x,utm_y,year,stor_cap_m3,2020,%  capacity remaining
1,FRISKY,SN,96.74021986,0,21186,641660.901,4337639.36,1958,24669.64,24669.64,100
7,SMITH LAKE,SN,96.74021986,0,3289,669348.3027,4427581.183,1909,493392.8,493392.8,100
16,ABRAMS,SN,96.74021986,16.58,18264,675296.3568,4301862.316,1950,135683.02,74339.41845,54.78903583
20,AEREE,SN,96.74021986,1.35,18629,671551.5649,4301040.133,1951,111013.38,102390.4001,92.23248593
21,AGNEW LAKE,SN,96.74021986,59.57,5845,840814.6051,4185848.067,1916,999120.42,963968.9391,96.48175734
35,ALPINE,SN,96.74021986,13.21,2193,761439.0933,4262198.313,1906,5674017.2,5528686.143,97.43865674
40,ANDERSON RANCH,SN,96.74021986,0.6,32509,667011.4467,4351093.249,1989,37004.46,35282.88257,95.34764881
41,ANDREW CADEMARTORI,SN,96.74021986,0.13,30317,725207.6014,4225188.171,1983,175154.444,174678.2327,99.7281192
44,ANTELOPE,SN,96.74021986,183.89,23377,703772.2031,4450272.147,1964,27834754.81,26852193.94,96.47002147
46,ANTELOPE,SN,96.74021986,11.27,31778,915557.0749,3894563.157,1987,942380.248,907341.6635,96.28190589
47,ANTHONY HOUSE,SN,96.74021986,141.16,25569,653631.1234,4344156.528,1970,4736570.88,4352569.15,91.8928326
54,AUBURN LK TRAILS,SN,96.74021986,0.41,28491,678596.6479,4309523.651,1978,83876.776,82210.40195,98.01330698
55,AUBURN VAL # 3,SN,96.74021986,1.04,21551,660633.9502,4318390.386,1959,246696.4,240582.8065,97.52181486
56,AUKUM VIEW,SN,96.74021986,0.7,22647,699511.3428,4271155.291,1962,167753.552,163836.8922,97.66522991
64,BALCH AFTERBAY,SN,96.74021986,649.31,10228,847506.6188,4091609.489,1928,392247.276,196849.1771,50.18496982
65,BALCH DIVERSION,SN,96.74021986,613.31,9863,854435.4716,4093193.307,1927,1597359.19,793552.7913,49.67904503
66,BALSAM MEADOW,SN,96.74021986,0.8,31413,832862.7301,4119555.997,1986,2516303.28,2513598.651,99.89251578
67,BARNETT,SN,96.74021986,1.63,17533,678849.0321,4278994.311,1948,141850.43,130958.4973,92.32153709
76,BEAR CREEK DIV,SN,96.74021986,139.86,9863,856786.0891,4139442.673,1927,127048.646,127048.646,100
78,BEAR RIVER,SN,96.74021986,72.52,1,742532.5109,4271232.727,1900,8333404.392,7519946.297,90.23858609
79,BEAR VAL SH,SN,96.74021986,0.26,27395,715097.0436,4258971.953,1975,426784.772,425631.1104,99.72968538
81,BEARDSLEY,SN,96.74021986,799.02,20821,756129.3288,4232214.826,1957,95718203.2,94323878.94,98.54330293
82,BEARDSLEY AB,SN,96.74021986,812.25,21186,754838.8363,4231433.502,1958,394714.24,382499.1629,96.9053366
83,BEAVER CR DIVERSN,SN,96.74021986,76.66,32874,738228.554,4234816.202,1990,24669.64,24669.64,100
88,BELLETT,SN,96.74021986,3.37,18264,668859.2953,4358720.791,1950,111013.38,91037.09563,82.00551648
97,BIDWELL LAKE,SN,96.74021986,23.62,1/1/1865,673714.4043,4442117.325,1865,6414106.4,6063957.231,94.54095166
99,BIG CANYON CR,SN,96.74021986,13.99,12785,682705.366,4275380.44,1935,487225.39,388454.3818,79.72786102
100,BIG CREEK,SN,96.74021986,66.3,25204,746340.7843,4193402.358,1969,9436137.3,9114987.472,96.59659649
101,BIG CREEK NO 4,SN,96.74021986,277.39,4750,833730.1634,4123852.043,1913,123348.2,14007.79042,11.35629901
102,BIG CREEK NO 5,SN,96.74021986,323.75,7672,827381.19,4123231.609,1921,51806.244,25083.92253,48.41872444
103,BIG CREEK NO 6,SN,96.74021986,3095.05,8402,825724.5994,4123908.294,1923,1224847.626,586234.1607,47.86180324
104,BIG CREEK NO 7,SN,96.74021986,3346.28,18629,815327.0396,4116657.337,1951,43171870,39002052.99,90.34135652
109,BIG DOWNEY LAKE,SN,96.74021986,1.04,19725,707102.6922,4363347.409,1954,199824.084,193248.8233,96.70947538
